111.89989,74.68419,93.49142,52.26790,103.61517,112.18588,105.91281,102.55879,26.94206,95.83099,34.59783,6.00000
108.83344,68.12447,92.58188,52.62628,99.58637,107.38829,103.30790,97.40049,35.62175,95.21778,37.33300,6.00000
108.98014,68.26725,93.15141,51.95287,98.78942,106.64974,102.49993,95.88454,40.72084,95.14752,40.11552,6.00000
108.55346,66.91452,93.46912,50.66655,97.42667,104.65391,101.84306,96.37976,39.76110,95.75751,40.52735,6.00000
109.26405,66.73981,93.09964,50.99483,97.59044,105.11497,101.83979,95.60323,41.81006,95.65668,41.40179,6.00000
110.35216,67.80894,94.45526,51.60764,98.00697,105.56745,102.49287,96.75323,42.71795,96.38177,41.29042,6.00000
109.77932,66.54966,95.35615,53.46498,98.19139,106.11026,102.15425,96.02800,42.74638,95.97450,42.39981,6.00000
107.99963,66.57556,92.66205,55.20338,96.20102,103.93452,101.23425,96.86655,38.92645,95.73592,40.63773,6.00000
104.58949,63.23763,87.76925,53.61517,92.38563,100.52316,96.00445,96.60122,37.57807,94.92882,40.90711,6.00000
103.50779,64.95107,85.81470,55.44632,91.31236,99.85978,94.26521,97.20274,33.07123,94.60126,39.85881,6.00000
102.94791,59.81874,84.41308,55.68758,89.86143,98.70804,92.98804,96.30399,37.64235,95.17960,40.85170,6.00000
105.77806,56.20265,83.94664,58.19321,88.55422,97.86797,92.53043,97.22808,39.00219,96.92699,40.33252,6.00000
107.11747,72.20555,81.61322,75.98808,89.17397,98.16577,92.83214,97.77948,38.49427,97.66452,40.69138,6.00000
108.03835,76.92334,79.34957,80.72353,89.11712,98.13808,92.49273,97.92520,39.33226,98.02945,40.77707,6.00000
106.46362,82.55469,75.89169,81.02071,88.23202,97.47298,91.89122,97.76056,36.72944,97.86240,39.43935,6.00000
114.84472,62.34398,74.01154,73.29668,86.93848,97.01572,90.75990,97.03291,37.16853,97.01819,40.41446,6.00000
112.12901,67.72743,71.57896,75.16655,86.51582,96.34051,90.70702,96.94460,37.85470,96.49046,40.81098,6.00000
110.93109,70.26595,69.66745,77.17077,86.71671,96.82607,90.42582,96.52594,38.94216,95.75851,40.90581,6.00000
106.40667,79.78290,68.06718,79.67521,87.75951,97.60652,90.84542,96.70988,39.13251,95.86749,40.93847,6.00000
105.51327,87.34631,69.45503,80.05597,89.23373,98.71137,90.85797,96.42709,37.86488,95.85706,40.60455,6.00000
